id,objectid,display_template,object_location,image_small,image_thumb,image_alt_text,title,creator,partof_title,creator_partof,place,publisher,volume,date,pages,format,fulltext,notes,subject,call_number,collection,title_item,author_item,in,author_book,title_book
4767,object04767,record,,,,,Sackville News,"Smith, Alfred Deane",Saint John Globe,,,,,"Audust 2, 1906",,,,,"Travelling;Allison, David;Magic Lantern Slides;Methodist Conferences;Doncaster, Fred;Basements;Wry, Albert;Houses;Garages;Murray, Mr.;Flemington, Charles;Hunton, Sydney W.;Borden, Byron Crane;Recruitment;Methodist Church;Fawcett Farm;Foundations;Merril, Mr.;Chignecto Post Building;Dawson, John L.;Town Clerks;Waterworks;Water System;Sharpe, Sam;Andrews, Wilbur W.;Technology;Paisley, Charles H.;Building;Barns;Construction;Tenements;Fawcett, Charles;Dobson, Frank;Fillmore, John;Pointe De Bute;South African War;Boer War;Eaves, William;Fawcett Foundry;Foundries",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News,"Smith, Alfred Deane",,,Saint John Globe
4768,object04768,record,,,,,Sackville news: Building - Personal Mention - People Abroad - The Enterprise Foundry Trouble,"Smith, Alfred Deane",Saint John Globe,,,,,"August 13, 1906",,,,,"Buildings;McHaffery, Mrs.;Foundry Street;Bowser, Burnham;Naughty Ones;Ladies College;Class of 1898;Tweedie, William Morley;Archibald, Raymond Clare;Goat Island;Churches;Campbell, George      - 1906;Houses;Charlotte Street;Fowler, Walter;Plumbers;Flooring;Brecken, Katie E.;Trites, Raleigh;Travelling;Powell, Henry A.;Sermons;Royal Bank;Enterprise Foundry;Foundries;Obituaries;Buck, Leonard;Pringle Street;Tenements;University Residence;Paisley, Louise H.;Class of 1901;Forster, Charles;Scotland;Borden, Byron Crane;Hunton, Sydney W.;Bible Society;Strikes;Carriage Factories",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville news: Building - Personal Mention - People Abroad - The Enterprise Foundry Trouble,"Smith, Alfred Deane",,,Saint John Globe
4769,object04769,record,,,,,Sackville News: Sackville Notes,"Smith, Alfred Deane",Saint John Globe,,,,,"August 27, 1906",,,,,"Pringle, William Captain 1841-1915;Captains;Waterworks;Water System;Telephone Poles;Hicks, Coleman;Goodwin, E.C.;Class of 1901;Buffet, Ben;Publishers;Water Pipes;Town Council;Hicks, Milton;Baie Verte;Buffet, Claude;Burwash, Annie E.;Telephone Companies;Central Telephone Company;Dawson, John L.;Goodwin, W.L.;Forsey, Raymond;Class of 1896;Alcorn, W. Morley",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Sackville Notes,"Smith, Alfred Deane",,,Saint John Globe
4770,object04770,record,,,,,Sackville News: mMatters of Personal Interest - Hold Summer Mining Classes - Open Season Begins,"Smith, Alfred Deane",Saint John Globe,,,,,"September 4, 1906",,,,,"Borden, Byron Crane;Borden, Elaine;Archibald, Raymond Clare;Vocal Music;Allison, Harry;Hunton, Harold;Dawson, John L.;York Street;Education;Stewart, Charles;Class of 1904;Dunham, Louise;Dixon, L.;Long, George Roy;Pickard, Charles;Tweedie, William Morley;Automobiles;Cars;Wilson, George;Teachers;Class of 1898;Exhibitions;Houses;Goodwin, W.L.;McArthur, John;Wood, Hester;Fuller, A.T.;Rhodes Scholars;Class of 1904;Class of 1906;Ducks;Borden, Gladys;Vice Principals;Hemming, Miss;Travelling;Hunton, Sydney;Watson, W. Gladstone;Bowser, Charles A.;Mining;Metallurgists;Mines;Swenerton, R.K.;Class of 1897;Rogers, G.D.;Class of 1905;Sports;Hunting",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: mMatters of Personal Interest - Hold Summer Mining Classes - Open Season Begins,"Smith, Alfred Deane",,,Saint John Globe
4771,object04771,record,,,,,Sackville News: Academy and Ladies College Getting Ready for Term's Work - Going to Convention - Foundry to be Reopened,"Smith, Alfred Deane",Saint John Globe,,,,,"September 10, 1906",,,,,"Academy;Principals;Plumer, Miss;Faculty;Pianos;Paisley, Charles H.;Methodist Conferences;Railways;Murray, Thomas;Tidal Energy;Westcock;Enterprise Foundry;Strikes;Ladies College;Borden, Byron Crane;Ruggles, Mabel L.;Archibald, Raymond Clare;Maxwell, Annie A.;Allison, David;Methodist Church;Ministers' Car;Trains;Town Clerks;Mills;Grist Mills;Aboiteaux;Foundries;Palmer, James Marshall 1861-1945;Enrolment;Hemming, Miss;Wilson, Richard 1831 - 1906;Class of 1900;Andrews, Wilbur W.;CPR;Evans, E.;Cove Brothers;Botsford, Amos Edwin;Moulders;Foundries",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Academy and Ladies College Getting Ready for Term's Work - Going to Convention - Foundry to be Reopened,"Smith, Alfred Deane",,,Saint John Globe
4772,object04772,record,,,,,Sackville News,"Smith, Alfred Deane",Saint John Globe,,,,,"September 17, 1906",,,,,"Tweedie, William Morley;Calkin, James O.;Medical Doctors;Physicians;Graduate Students;Engineering;Hemming, Miss;Principals;Tribune;Copp Building;Contractors;Salem Street;Town Councils;Intercolonial Copper Mine;Dorchester;Houses;University Residence;McGill University;Watson, W. Gladstone;Faculty;Palmer, James Marshall 1861-1945;Harrison, C.W.;Odd Fellows Hall;Fillmore, John;Water Service;Water System;York Street;Enrolment;Medicine;Charivari;San Domingo;Avard, Clement Chandler 1875-1956;Newspapers;Meeting Halls;Water Pipes;Foundry Street",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News,"Smith, Alfred Deane",,,Saint John Globe
4773,object04773,record,,,,,Sackville News: The Oldest Industrial Site in the Province - Quarrying - Gaspereaux Plentiful,"Smith, Alfred Deane",Saint John Globe,,,,,"May 13, 1907",,Microform;Full Text,"FT: EXCERPT "" Now at a meeting of the Committee for the Township of Sackville in Nova Scotia, held on the 20th of July, 1792 at the inn of Mrs. Charity Bishop, Cumberland - the first public meeting probably held in the province - it was resolved in connection with the division of the land among intending settlers that the lower Mill Creek be the dividing line between Westcock Village and the MIddle Village and that the other boundry of the middle Village be at the old mill dam at the Upper Mill Creek. This mill dam, which on the site indicated above was evidently a French structure and very likely dated back to the seventeenth century.For how much of the time which has elapsed since the date mentioned above there has been a mill in operation on this site is not known - probably however, for most of the 145 years. if not all of them.i",,"Middle Sackville;Industry;Morice's Pond;Mills;Woodworking;Doors;Grist Mills;Flags;Flag Staff;University;Crowell, John William;Gaspereaux;Snow;Bishop. Charity;Inns;Upper Mill Creek;Pickard, Charles;Sackville Freestone Quarry;Public meetings;Derricks;Fisher, Peter;Surveying;Fishing;Weather;Quarries;Truro;Nova Scotia Bank;Banks;Buildings;Stone;Saw Mills;Boundaries;Engineering;Fawcett, Horace;Easterbrooks, Fred",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: The Oldest Industrial Site in the Province - Quarrying - Gaspereaux Plentiful,"Smith, Alfred Deane",,,Saint John Globe
4774,object04774,record,,,,,Sackville News: Bermudian Students Arrive - Personal,"Smith, Alfred Deane",Saint John Globe,,,,,"September 24, 1906",,,,,"Hollis, Carl;Johnson, David W.;Class of 1873;Lefurgey, Ephraim;Archibald, Raymond Clare;Ladies College Library;Borden, Byron Crane;Hallett, Carl;Motyer, Arthur J.;Llewellyn, Tom;Editors;Lawrence, John P.;Wood, Herbert;Gifts;Libraries;Doe, Wyman;Rhodes Scholars;Day, Frank Parker;Wesleyan;Johnson, John;Hammond, John;Books;Mary Mellish Archibald Memorial Library;Ladies College Library",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Bermudian Students Arrive - Personal,"Smith, Alfred Deane",,,Saint John Globe
4775,object04775,record,,,,,Sackville News: University Students Arrive - Visitors from Bermuda - Art Department,"Smith, Alfred Deane",Saint John Globe,,,,,"October 1, 1906",,,,,"Picnics;Class of 1904;Strothard, Harry;Bonnell, Saul;Class of 1887;Tweedie, Nettie;Hallett, W. Cardy;Class of 1866;Art;McLeod, Bessie;Wood, Mary Laura;Fort Cumberland;Engineering;Weeks, Ernest;Taylor, Sydney;Groniund, Sydney;Ladies College;Hollis, Douglas;Allison, Jane;Owens Museum of Fine Arts;Fine Art;Wood, William T.;Bell, Winthrop Pickard;School of Applied Science;Rhodes Scholarships;Murders;McAnn, Charles;Crimes;Class of 1891;Taylor, Hedley C.;Toddings, H. Seward;Acquisitions;Faculty;Wood, Hester",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: University Students Arrive - Visitors from Bermuda - Art Department,"Smith, Alfred Deane",,,Saint John Globe
4776,object04776,record,,,,,Sackville News: University Students Arrive - Visitors From Bermuda - Art Department,"Smith, Alfred Deane",Saint John Globe,,,,,"October 1, 1906",,,,,"Picnics;Class of 1904;Bonnell, Saul;Class of 1877;Tweedie, Nettie;Hallett, W. Cardy;Class of 1866;Art;McLeod, Bessie;Wood, Mary Laura;Fort Cumberland;Engineering;Weeks, Ernest;Taylor, Sydney;Groniund, Oskar;Ladies College;Allison, Jane;Owens Museum of Fine Arts;Fine Arts;Wood, William T,;Bell, Winthrop Pickard;School of Applied Science;Rhodes Scholarships;Murders;McAnn, Charles W.;Class of 1891;Taylor, Hedley C.;Toddings, H. Seward;Hammond, John;Acquisitions;Faculty;Wood, Hester",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: University Students Arrive - Visitors From Bermuda - Art Department,"Smith, Alfred Deane",,,Saint John Globe
4777,object04777,record,,,,,"Sackville News: Apparatus for the Science Department, Mount Allison - Reception at Dr. Borden's - Sewer Extension - Personal","Smith, Alfred Deane",Saint John Globe,,,,,"October 8, 1906",,Microform,,,"Andrews, Wilbur W.;Barometers;Batteries;Sewer Pipes;Main Street;Tait, George;Electric Light Company;McGill University;Physics;Thermometers;Borden, Byron Crane;Station Road;Curling;Rinks;Ward, Mrs.;Graduates;Equipment;Tuning Forks;Receptions;Mount Allison Pond;Ladies College Pond;Ponds;Lansdown Street;Obituaries",M 5461,"W.P. Bell Collection of Acadiana, Microform Room","Sackville News: Apparatus for the Science Department, Mount Allison - Reception at Dr. Borden's - Sewer Extension - Personal","Smith, Alfred Deane",,,Saint John Globe
4778,object04778,record,,,,,Sackville News: Sackville Water Supply Must be increased - The Weather and the Crops - Good Exhibition - Property Changes Hands - Personal,"Smith, Alfred Deane",Saint John Globe,,,,,"October 15, 1906",,Microform;Full Text,"FT: Excerpt  ""The exhibition of the Sackville and Westmorland Agricultural Society opened on Thursday morning and closed on Friday evening. Owing to the bad weather the attendance on Thursday was small, the sale of the 25 cent tickets footing up to only $62, But Friday's sunshine brought the people out in swarms.
The exhibition was an exceptionally good one. The show of horses was excellent, that of horned cattle still better - one of the best indeed, ever seen on the grounds - and the poultry exhibit was a very attractive one.Surprisingly good too, was the display of vegetables especially in view of the dry summer, while the beets,mangolds and carrots were nothing , the turnips, cabbage, cauliflower and potatoes were immense. On Friday afternoon there was something going on around the track, which was supposed to be racing, but the more expert wholly failed to recognize it as such............. . . . . ..

One of the oldest houses in Sackville recently changed hands This was the cottage in the vicinity of the old Presbyterian church, immediatley to the north of Dr. Andrew's property, built about 90 years ago by Dr, Marmaduke Blackhouse, one of Sackville's early physicians, and afterwards for many years registrar of wills  and deeds at Dorchester. This has been bought from the estate of the late Ainsley Bowser by Charles Sears, of Midgic. On the lot of land on the north side of Bridge Street for thirty years or more the site of of the office of the Post, Miss Ella Read, late of Amherst, contemplates building a two-storey apartment house, 65 feet by 35 feet, the upper flat of which she will herself occupy. John Fillmore, who is the contractor, has the cellar excavated and the cellar  wall well under way.""",,"Reservoirs;Water;Low's Brook;Crops;Butter;Sackville and Westmorland Agricultural Society;Agriculture;Societies;Cattle;Beets;Turnips;Potatoes;Bridge Street;Backhouse, Marmaduke;Sears, Charles;Fillmore, John;Contractors;Chesley, S.A.;Class of 1877;Class of 1900;Hammond, John;Crowell, John William;Westcock;St. Ann's;Weather;Exhibitions;Poultry;Mangolds;Vegetables;Cabbages;Racing;Houses;Medical Doctors;Read, Ella;Contractors;Contractors;Class of 1866;Huestis;Class of 1885;Statues;Acquisitions;Owens Museum of Fine Arts;Fairfield;Springs;Hay;Horses;Carrots;Cauliflowers;Sports;Andrews, Wilbur W.;Bowser, Ainsley;Apartment Buildings;Chignecto Post Building;Johnson, G.F.;Baker, R.;Lansdown Street",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Sackville Water Supply Must be increased - The Weather and the Crops - Good Exhibition - Property Changes Hands - Personal,"Smith, Alfred Deane",,,Saint John Globe
4779,object04779,record,,,,,Sackville News,"Smith, Alfred Deane",Saint John Globe,,,,,"October 22, 1906",,Microform,,,"Ladies College;Apples;Art;Plaster Casts;Owens Museum of Fine Arts;Hunton, Harold;McHaffy Harold;McHaffy, Mary;Lockhart, Minnie;Fawcett, Charles;Wharves;Railway Stations;Lorne Street;Station Street;YMCA;Football;Sports;Mount Allison;Eurhetorian Society;McDonald, W.W.;Hospitals;Rhodes and Curry;WMS;Women's Missionary Society;Church Groups;McHaffy, Captain;Lockhart, Edward;Enterprise Foundry;Foundries;Hart, Thomas;Stewart, Hattie, S.;Women's Movements;Enman, P.S. Mrs.;Hunton, Sydney;Hunton, Sydney W. Mrs.;Inch, James Robert;Travelling;Electric Light Station;Dawson, J.L. Mrs.;Saint John;John T. Walters (Schooner);Sewers;Intercolonial Hotel;Hotels",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News,"Smith, Alfred Deane",,,Saint John Globe
4780,object04780,record,,,,,Sackville News: Enterprise Foundry's New Office - Unique Canning - A good Concert,"Smith, Alfred Deane",Saint John Globe,,,,,"October 29, 1906",,,,,"Enterprise Foundry;Foundries;Brunswick House Hotel;Warehouses;Dynamos;Sackville Freestone Quarry;Quarries;Lumber;Mushrooms;Agriculture;Farming;Tobacco;Paisley, Charles H.;Inch, James Robert;Board of Regents;Vocal Music;Education;Ruggles, Mabel;Clark, Miss;Western Union Telegraph Company;Dixon, Bedford;Emerson and Fisher;Brooklyn;Quarries;Canning Factories;Allison, David;CPR;Hunton, Sydney, W. Mrs.;Beethoven Hall;Faculty;Booth, Rose;Plumer, Mary Francis;Organs;Main Street;Electric Light;Pickard, Charles;Ayer, James R.;Fawcett, Robert;Borden, Byron Crane;Hart, Jairus;Concerts;Hemming, Kate;Black, Alberta;Pianos;Music;Webb, Florence",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Enterprise Foundry's New Office - Unique Canning - A good Concert,"Smith, Alfred Deane",,,Saint John Globe
4781,object04781,record,,,,,Sackville  News,"Smith, Alfred Deane",Saint John Globe,,,,,"November 5, 1906",,Microform;Full Text,"FT: Excerpt  “  Professor Hammond of the Art Schools Has been engaged during the week repairing the fractures sustained by the plaster casts imported from England. A Case of replicas of Tanaga figurines which has long been expected from England via Saint John has just been discovered in Halifax……

No Tribune made its appearance on Monday, but on Thursday was issued the first number to be printed in Editor Avard’s splendid new brick building on Main Street. This office is certainly the finests one of the kind in the Maritime Provinces outsida of Saint John and Halifax – well built and fin ished, well lighted and commodious-and if the spirit back of all these improvements is projected into the management of the paper what a journal may not the Tribune become.”",,"Borden, Byron Crane;Housekeeping;Beethoven Hall;Ladies College;Govenlock, Miss;McCally, Miss;Faculty;Fund Raisers;Academy;Seller, William;Surveying;Newspapers;Fine Arts;Plaster Casts;Statues;Tanagra figurines;Hallowe'en;Palmer, James Marshall 1861-1945;McFadzen, Frank;Class of 1894;Engineering;Avard, Clement Chandler 1875-1956;Archibald, Raymond Clare;Wilson, Richard 1831 - 1906;Magic Lantern Slides;Promenade Concerts;University Residence;Mount Allison University Athletic Association;Candy;Enrolment;Class of 1905;Crowell, John William;Maps;Tribune Office",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville  News,"Smith, Alfred Deane",,,Saint John Globe
4782,object04782,record,,,,,Sackville News: A Backward Spring - Quarterly Board Meeting - Building Changes - Off to Europe,"Smith, Alfred Deane",Saint John Globe,,,,,"June 10, 1907",,Microform;Full Text,"FT: Excerpt ”. . . .Prof Hammond is fitting up a second story with several bedrooms in the building in the rear of his house originally intended by him for a summer studio, but occupied as a residence for two years by Prof George Wilson, and now rented by Mr. Putnam, manager of the Royal Bank here. Prof Watson is having his house raised two feet and is going to have a new two storey ell built , containing a kitchen, bedroom etc. The stone for the new railway station is being procured partly from a quarry on Beech Hill, owned by Fletcher Allen and partly from H.C. Read’s quarries at Woodpoint and Rockport. The station cellar is now dug and the floor is being laid with concrete.”",,"Weather;Hay;Accidents;Drownings;Tantramar River;Fillmore, Frank Mrs.;Westmorland Point;Methodist Church;Quarterly Meetings;Debts;Secord, Dr.;Physicians;Medical Doctors;Black, Joseph Lawrence 1829-1907;Hunton, Sydney W.;Hammond, John;Wilson, George;Houses;Putnam, R.;Royal Bank;Bank Managers;York Street;Railway Stations;Quarries;Beech Hill;Allan, Fletcher;Read, Herbert C.;Woodpoint;Rockport;Ottawa (Steamship);Borden, Byron Crane;Travelling;Inch, Dorothy;Hunton, Edith;Wood, Josiah 1843-1927;Wood, Laura Sophia Trueman d.1935;Easterbrooks, Helena;Class of 1901;Sanford, Albert M;Class of 1895",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: A Backward Spring - Quarterly Board Meeting - Building Changes - Off to Europe,"Smith, Alfred Deane",,,Saint John Globe
4783,object04783,record,,,,,Sackville News: Planting Strawberries - The Water Supply - Personal - School Meeting,"Smith, Alfred Deane",Saint John Globe,,,,,"June 17, 1907",,Full Text;Microform,"FT Excerpt “All the spring the reservoir at Beech Hill has been brimming full and the waste-way has been consistently at work discharging the copious overfow. But new water services are being constantly added to those at present in operation - more than a dozen having been put in already this season with many more to follow. There is therefore a feeling in many quarters that the town coucil should lose no time in enlarging the water supply, especially as the task is not one of much difficulty or of great expense. The experience of last summer furnishes a warning that should not be neglected, since every year the increasing drain on the reservoirs will enhance the dimunition of the water supply consequent on a dry season.”",,"Weather;Strawberries;Boxes;Box Factories;Hicks, Timothy;George, Fred;Reservoirs;Creamer,Mr.;Abductions;Children;Peacock Settlement;Spritualists;Beal, Charles;Weldon Street;Rainnie, Fred;Carter, Will;Houses;Tin;Stoves;Atkinson, Stephen Captain;Schools;Meetings;Hydrants;Hoses;Fire Escapes;Trustees;Hunton, Sydney W.;Phinney, Harvey;Fire Safety;Steadman,Mr.;Jewellers",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Planting Strawberries - The Water Supply - Personal - School Meeting,"Smith, Alfred Deane",,,Saint John Globe
4784,object04784,record,,,,,Sackville News: News of the Teachers at the Institutions - Changing Residences - Hay is Dear,"Smith, Alfred Deane",Saint John Globe,,,,,"June 22, 1907",,,,,"Conferences;Allison, David;Palmer, James Marshall;Hunton, Sydney W.;Methodist Church;Archibald, Raymond Clare;Booth, Rose;Webb, Florence;Faculy Music;Maxwell, Annie;Class of 1900;Class of 1904;Ladies College Library;Pickard, Thomas Mrs.;Pickard, Sarah;Salem Street;York Street;Houses;Smith, Ernest;Inch, James Robert;Bartlett, S.T.;Epworth League;Bridge Street;Weldon Street;Copp’s Woodworking Factory;M.Wood And Sons;Skating Rinks;Buildings;Hay",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: News of the Teachers at the Institutions - Changing Residences - Hay is Dear,"Smith, Alfred Deane",,,Saint John Globe
4785,object04785,record,,,,,Sackville News: Dr. Borden in Europe - Conservatory Staff Changes - Prof. Tweedie’s Trip - Personal,"Smith, Alfred Deane",Saint John Globe,,,,,"July 8, 1907",,,,,"Borden, Byron Crane;Travelling;Edinburgh;Archibald, Raymond Clare;Ayer, Ada F.;Violin Teachers;Faculty;Music;Conservatory of Music;Tweedie, William Morley;Watson, William Gladstone;Houses;York Street;Allison, David;Hammond, John Mrs.;Illness;Fawcett, Albert;California;Wilson, Lizzie;Easterbrooks, Willard;Easterbrooks, Horace;Schools;Tingley, Josiah;Four Corners;J.L.Black and Sons;Stations;Middle Sackville",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Dr. Borden in Europe - Conservatory Staff Changes - Prof. Tweedie’s Trip - Personal,"Smith, Alfred Deane",,,Saint John Globe
4786,object04786,record,,,,,Sackville News: Merchant’s Day - Board of Trade - Personal - Celebration of the 12th,"Smith, Alfred Deane",Saint John Globe,,,,,"July 15, 1907",,Microform,,,"Merchant’s Day;Advertising;Sales;Canadian Wooden Ware Company;Wharves;Landing;Andrews, Wilbur W.;Black, Frank Bunting;New Brunswick Telephone Company;Borford Parish;Telephone Service;Norman, Rollie;Telephone Exchange;Archibald, H.D.;Charles Fawcett Company;Colpitts, Elmer C.;Class of 1902;Colpitts, James;Pointe De Bute;Colpitts, Julia;Class of 1899;Bell, Ralph Pickard;Class of 1907;Deinstadt, Marguerite;Orange Lodge;Parades;Music;Bands;Sports;Sackville and Westmorland Agricultural Society;Agriculture;Societies;Copp, A.B.;Ackman, George;Mount Allison Amateur Athletic Association;Running Track;Borden, Frederick W.;Borden, Harold Lathrop;South Africa;Boer War;Class of 1897",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Merchant’s Day - Board of Trade - Personal - Celebration of the 12th,"Smith, Alfred Deane",,,Saint John Globe
4787,object04787,record,,,,,Sackville News: Prospective Diplomatists - Dr. Archibald Leaving the Staff of the Ladies College,"Smith, Alfred Deane",,,Saint John Globe,,,"May 20, 1907",,Microform;Full Text,"FT:  Excerpt  “ . . . .    The Ladies College has met with another very serious loss in the resignation of Dr. R.C. Archibald, Mt.A 1894, professor of violin music. After graduating from the university in arts and in music at the Mt. Allison  Conservatory, Mr. Archibald spent three years at Harvard, where he took his M.A.in mathematics, prosecuting his violin music also under Charles N. Allan. He then took a two years’ course in mathematics at Strasburg Germany, winning the degree of Ph.D. and still carrying on his violin study under Boise, Butler and Schuster.While teaching at the Ladies College for a number of years past, not only has he proved himself a master, and an enthusiast in his special line of teaching, but has also confrerred on the institution inestimable benefits by his remarkable, nay, unique, gifts as librarian and bibliographer. Thanks mainly to him, the college now has a library of some 7000 volumes, all valuable and many rare, housed in a most comfortable and cheerful room, and in addition to this an apartment filled with magazines of every description, nearly all bound. To Dr. Archibald is also due the remarkable and complete system of card catalogues of student’s names that has been in progress of compilation for several years and has now, as far as the past is concerned, arrived at practical completion Dr. Archibald has not yet made up his mind whether he will take a chair of mathematics or go abroad for additional mathematical study. He expects, however, to remain in Sackville until next autumn.”",,"Degrees;Convocation;MLA;Master of Liberal Arts;Mistress of Liberal Arts;Graduate Degrees;Baker, Eva Victoria;Craig, Alberta Poole;Oratory;Chubbock, Harriet F.;Dixon, Mabel G.;Sinclair, Tessie;Watson, Helen P.;Household Science Department;Bent, Bessie L.;Roach, Ethel J. L.;Wilson, Mary E.;Carver, Amy, M.;Johnson, Mary A.;Marvin, Mabel L.;Music;Teacher's Diploma;Bowser, Helen G.;Dunn, Margaret R.;Lundon, Bessie;Rogers, Bertha;Smith, Edna M.;Smith, Ellen, B.;Faulkner, Frances E.;Dakin, Hattie;Organs;Vocal Music;Robb, Florence I.;Ruggles, Julia P.;Violins;Drawing;Borden, Elaine A.;Edwards, Grace A.;Turner, Nellie;Atkinson, Edward S.;Atkinson, Herbert C.;Barley, Percy S.;Bell, Ralph Pickard;Black, Harold G.;Clindinin, John M.;Davidson, William H.;Dixon, Mabel G.;Hallett, Carl H.;Harper, J. Roy;Lawrence, Anna K.C.;McDonald, William W.;McLean, Alice A.;Oulton, John R.;Outerbridge, Howard W.;Patterson, George S.;Smiley, John S.;Smith, Mary L.P.;Wheeler, Ralph DeF.;YMCA;Archibald, Raymond Clare;Class of 1907;Class of 1894;Ladies College Library;Mary Mellish Archibald Memorial Library;Alumni Office;Fund Raising",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Prospective Diplomatists - Dr. Archibald Leaving the Staff of the Ladies College,"Smith, Alfred Deane",,,
4789,object04789,record,,,,,Sackville News,"Smith, Alfred Deane",Saint John Globe,,,,,"November 26, 1906",,,,,"Debating;Borden, Byron Crane;Wheat;Archibald, Raymond Clare;Ladies College Library;Mary Mellish Archibald Memorial Library;Crowell, John William;Wood, Laura Sophia Trueman d.1935;Travelling;Horsler, T.J.;Brunswick House;Baptist Churches;Island Marsh;Marshes;Cole's Island Marsh;Road Races;Sports;Allison, David;Domestic Science;Teaching Aids;Concerts;Forsey, Raymond;Wood, William;Day, Frank Parker;Acetylene gas;Main Street Baptist Church;Lighting;King's Marsh;Dykes;Ram Pasture Marsh;Marathons;Dining Halls;Supper Parties;Ladies College;Enrolment;Drums;Class of 1901;Libraries;Oxford;Rhodes Scholars;Main Street;Spectacle Marsh",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News,"Smith, Alfred Deane",,,Saint John Globe
4790,object04790,record,,,,,Sackville News: Nearing the End of the Term at the Institutions - Getting Ready for Winter - Of Personal Interest - Examinations,"Smith, Alfred Deane",Saint John Globe,,,,,"December 3, 1906",,,,,"Examinations;Ladies College;Recitals;Music;Borden, Byron Crane;Lumbering;Bowser Avenue;Water Pipes;Salem Street;Tingley Brothers;Feed Corn;Turner Brothers;Class of 1899;Merchants;Cape Tormentine;Curling Club;Concerts;Hoses;Hydrants;Ice Rinks;Andrews, Wilbur W.;Pickard, Charles;Renovations;York Street;Water Service;Sackville Hay and Feed Company;Corn;Turner, Elsie;Nurses;Stewart, Charles;Trains;Hunton, Harold;Eclectic Society;Skating;Coal;Furnaces;Celery;Brooklyn;Kirk Street;Foundry Street;Main Street;Mills;Turner, Woodford;McCord, G.R.;Special Trains;Hunton, Sydney;Beethoven Hall",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Nearing the End of the Term at the Institutions - Getting Ready for Winter - Of Personal Interest - Examinations,"Smith, Alfred Deane",,,Saint John Globe
4791,object04791,record,,,,,Sackville News: Prof. Hammonds's Pictures - Successful Sale Held - Residential and Business Changes,"Smith, Alfred Deane",Saint John Globe,,,,,"December 10, 1906",,,,,"Fine Arts;Hammond, John;Faculty;Ladies College;Tucker, Miss;Borden, Byron Crane;Rhodes Scholars;Dixon, L.;Class of 1905;Wilson;Wilson House;Wilson, Huldah;Houses;Hamilton, C.W.;Contractors;Connell and Gibbs;Exhibitions;Montreal;China;Fund Raising;Baker, Miss;Debating;Bell, Winthrop Pickard;Wright, C.W.;Class of 1906;Wilson, Richard;Morice, John;Wells, Edward;Captains;Read, Ella;Barbers;Paintings;McLeod, Bessie;YWCA;Piano Music;Vice Principals;Allison, David;Rogers, G.D.;Class of 1904;Houses;Wilson, Kate;Knapp, Henry;Fillmore, John;Apartment Buildings;Music Hall Block;Ford, George E.;Academy;Sales;Main Street;Trueman, R.A.;Stewards;Church Pews;Methodist Church",M 5461,"W.P. Bell Collection of Acadiana, Microform Room",Sackville News: Prof. Hammonds's Pictures - Successful Sale Held - Residential and Business Changes,"Smith, Alfred Deane",,,Saint John Globe
